idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
9772X,0.913608,2025-01-07T12:00:00+0000,0.0,673.0,,,,41.366116,,LA POBLA DE CERVOLES,62.0,7.4,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
9775X,0.67833,2025-01-07T12:00:00+0000,0.0,392.0,,,,41.41361,,EL SOLERÀS,61.0,9.9,10.8,10.8,,,,,,,,,,,,,,,,,,,,,,,,
9784P,0.224707,2025-01-07T12:00:00+0000,0.0,992.0,2.4,0.8,270.0,42.629967,110.0,BIELSA,73.0,2.8,4.7,4.8,902.4,0.4,7.8,,0.2,20.0,46.0,60.0,1.7,,,,,,0.0,,,,,,,789.8,,
9808X,0.138052,2025-01-07T12:00:00+0000,0.0,610.0,3.1,2.0,162.0,42.421665,175.0,AÍNSA-SOBRARBE  LA SERRETA-DEPÓSITO,74.0,5.8,8.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,
9812M,-0.099133,2025-01-07T12:00:00+0000,,1206.0,2.0,0.6,99.0,42.655342,107.0,PARADOR ORDESA-PARQUE NACIONAL ORDESA Y MONTEPERDI,87.0,-0.3,2.3,2.7,879.3,0.4,,,,,14.0,,,,,,,,,,,,,,,,,
9814I,-0.124444,2025-01-07T12:00:00+0000,0.0,1905.0,4.8,3.0,192.0,42.656113,174.0,TORLA-ORDESA  EL CEBOLLAR,95.0,-1.8,-1.8,-0.8,,0.5,,,,,14.0,,,,,,,,,,,,,,,,12.4,
9814X,-0.111944,2025-01-07T12:00:00+0000,0.0,1076.0,2.1,0.7,143.0,42.63759,112.0,TORLA-ORDESA  DEPÓSITO,70.0,4.6,6.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,
9838B,0.520556,2025-01-07T12:00:00+0000,0.0,1120.0,1.7,0.5,150.0,42.599445,145.0,BENASQUE,61.0,1.9,3.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,
9839V,0.543056,2025-01-07T12:00:00+0000,0.4,2374.4,5.7,1.7,187.0,42.555,176.0,CERLER  COGULLA,64.0,-3.8,-2.1,-2.1,,0.9,,,-7.8,,33.0,,,,,,,,,,,,,,,,9.3,
9843A,0.434167,2025-01-07T12:00:00+0000,0.0,825.0,1.0,0.2,243.0,42.476948,22.0,SEIRA,87.0,-0.2,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,
9855E,0.466105,2025-01-07T12:00:00+0000,0.0,600.0,3.6,2.2,268.0,42.20139,277.0,CAPELLA  LAGUARRES,75.0,5.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
9866C,0.140556,2025-01-07T12:00:00+0000,0.0,305.0,9.3,3.7,267.0,42.02139,255.0,BARBASTRO,53.0,10.5,11.4,11.4,,,,,,,,,,,,,,,,,,,,,,,,
9894Y,-0.160778,2025-01-07T12:00:00+0000,0.0,300.0,5.6,2.1,281.0,41.799297,265.0,SARIÑENA  DEPÓSITO,56.0,10.0,10.7,11.1,,,,,,,,,,,,,,,,,,,,,,,,
9898,-0.325555,2025-01-07T12:00:00+0000,0.0,546.0,6.0,2.3,261.0,42.084557,260.0,HUESCA  AEROPUERTO,69.0,7.5,8.2,8.4,952.7,1.1,7.3,1018.7,2.9,,44.0,48.0,4.0,,,,,,0.0,,,,,5.4,,,,
9901X,-0.394996,2025-01-07T12:00:00+0000,0.0,463.0,,,,42.13889,,HUESCA,62.0,9.0,9.2,9.3,,,,,,,,,,,,,,,,,,,,,,,,
9908X,-0.333059,2025-01-07T12:00:00+0000,0.0,380.0,8.3,6.4,296.0,41.77389,287.0,LANAJA  DEPÓSITO,54.0,9.6,10.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,
9911X,0.187782,2025-01-07T12:00:00+0000,0.0,178.0,10.5,5.7,259.0,41.619446,252.0,BALLOBAR  DEPÓSITO,52.0,11.5,12.4,12.4,,,,,,,,,,,,,,,,,,,,,,,,
9918Y,0.376949,2025-01-07T12:00:00+0000,0.0,218.0,8.1,5.4,243.0,41.780834,235.0,TAMARITE DE LITERA  LA MELUSA,56.0,10.3,11.2,11.2,,,,,,,,,,,,,,,,,,,,,,,,
9924X,0.355555,2025-01-07T12:00:00+0000,0.0,170.0,10.3,6.0,254.0,41.52472,250.0,FRAGA,54.0,11.3,12.1,12.1,,,,,,,,,,,,,,,,,,,,,,,,
9935X,0.146389,2025-01-07T12:00:00+0000,0.0,483.0,7.1,2.6,277.0,40.873337,250.0,VALDERROBRES ,52.0,8.9,10.1,10.1,,,,,,,,,,,,,,,,,,,,,,,,
9946X,0.311668,2025-01-07T12:00:00+0000,0.0,495.0,,,,40.953056,,HORTA DE SANT JOAN,53.0,9.3,10.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,
9947X,0.353329,2025-01-07T12:00:00+0000,0.0,370.0,12.1,5.2,268.0,41.17722,262.0,MASSALUCA,56.0,9.5,10.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,
9961X,0.735283,2025-01-07T12:00:00+0000,0.0,363.0,5.7,2.0,201.0,41.249443,237.0,CABACÉS,59.0,9.9,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
9975X,0.613616,2025-01-07T12:00:00+0000,0.0,112.0,12.3,6.0,271.0,41.005,270.0,RASQUERA,44.0,11.8,13.3,13.3,,,,,,,,,,,,,,,,,,,,,,,,
9981A,0.493333,2025-01-07T12:00:00+0000,0.0,49.92,9.7,4.9,313.0,40.82028,325.0,TORTOSA,36.0,14.9,15.7,15.7,1013.4,1.8,17.3,1018.3,0.6,20.0,26.0,60.0,10.4,,,,,,0.0,,,,,10.9,,,,
9988B,0.973793,2025-01-07T12:00:00+0000,,2467.0,3.1,2.3,157.0,42.69196,159.0,CAP DE VAQUEIRA,72.0,-6.1,-4.4,-4.4,751.2,0.3,,,-8.6,,7.0,,,,,,,,,,,,,,,,49.1,
9990X,0.876944,2025-01-07T12:00:00+0000,0.0,1161.0,1.8,0.9,78.0,42.70028,104.0,ARTIES,86.0,-0.9,1.3,1.8,,,,,-0.7,,,,,,,25.0,,,,,,,,,,,,
9994X,0.689719,2025-01-07T12:00:00+0000,0.0,722.0,3.6,1.0,28.0,42.776108,80.0,BOSSOST-CENTRAL,85.0,2.5,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,
9995Y,-1.300831,2025-01-07T12:00:00+0000,0.0,334.0,10.3,3.1,178.0,43.091114,187.0,VALCARLOS/LUZAIDE,59.0,9.8,10.6,10.6,,,,,,,,,,,,,,,,,,,,,,,,
9998X,-1.494444,2025-01-07T12:00:00+0000,0.0,1006.0,8.6,5.7,276.0,40.92139,262.0,BELLO,68.0,4.9,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
B013X,2.885828,2025-01-07T12:00:00+0000,0.0,490.0,6.6,1.4,165.0,39.823338,170.0,LLUC,67.0,10.1,11.5,12.1,,,,,5.6,,,,,,,65.0,,,,,,,,,,,,
B051A,2.691486,2025-01-07T12:00:00+0000,0.0,5.0,9.3,6.7,298.0,39.795555,305.0,SÓLLER,55.0,14.6,14.8,15.1,,0.8,,,5.8,,6.0,,,,,,,,,,,,,,,,,
B087X,2.512777,2025-01-07T12:00:00+0000,0.0,60.0,7.7,3.8,333.0,39.689167,345.0,BANYALBUFAR ,59.0,13.9,13.9,14.3,,,,,,,,,,,,,,,,,,,,,,,,
B103B,2.368936,2025-01-07T12:00:00+0000,0.0,52.0,5.7,1.8,313.0,39.57947,305.0,ANDRATX - SANT ELM,52.0,15.5,16.0,16.1,1012.7,1.1,,,,,31.0,,,,,,,,,,,,,,,,,
B158X,2.466476,2025-01-07T12:00:00+0000,0.0,50.0,8.2,3.7,310.0,39.551468,305.0,ES CAPDELLÀ- SON VIC NOU ,51.0,15.5,15.6,15.8,,,,,,,,,,,,,,,,,,,,,,,,
B228,2.625268,2025-01-07T12:00:00+0000,0.0,3.0,6.2,2.2,315.0,39.554256,311.0,PALMA-PORTOPÍ,42.0,16.2,16.9,17.7,1018.1,,,1018.4,3.9,,,,,,,67.0,,,,,,,,,,,,
B228D,2.638889,2025-01-07T12:00:00+0000,,7.0,8.6,4.0,286.0,39.5525,278.0,PALMA DIC DE L?OEST,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,
B236C,2.643755,2025-01-07T12:00:00+0000,0.0,95.0,9.7,3.8,310.0,39.642162,295.0,PALMA-UNIVERSITAT,49.0,15.0,15.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,
B248,2.713058,2025-01-07T12:00:00+0000,0.0,1030.0,13.6,7.2,315.0,39.734997,295.0,SIERRA DE ALFABIA,82.0,5.9,7.1,7.4,,,,,4.3,,,,,,,256.0,,,,,,,,,,,,
B275E,2.706667,2025-01-07T12:00:00+0000,0.0,47.0,9.6,5.7,258.0,39.60583,266.0,SON BONET  AEROPUERTO,49.0,14.7,15.3,15.3,1012.8,1.3,,,4.6,,12.0,,,,,,,,,,,,,,,,,
B278,2.736706,2025-01-07T12:00:00+0000,0.0,5.1,7.7,3.4,300.0,39.5608,320.0,PALMA DE MALLORCA/SON SANT JOAN,44.0,15.4,16.3,16.4,1018.3,0.6,18.2,1021.6,3.9,,14.0,60.0,,,,,,,,,,,,,,,,
B301,2.785002,2025-01-07T12:00:00+0000,0.0,113.0,8.6,4.5,285.0,39.379723,280.0,LLUCMAJOR-RADAR,53.0,15.5,15.7,15.8,,,,,,,,,,,,,,,,,,,,,,,,
B334X,2.891662,2025-01-07T12:00:00+0000,0.0,140.0,,,,39.495556,,LLUCMAJOR II,51.0,14.5,15.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,
B341X,3.005556,2025-01-07T12:00:00+0000,0.0,149.4,8.5,3.8,295.0,39.50611,270.0,PORRERES-SA MESQUIDA,48.0,13.9,14.7,14.7,,,,,,,,,,,,,,,,,,,,,,,,
B362X,3.064166,2025-01-07T12:00:00+0000,0.0,40.0,7.5,3.2,287.0,39.405834,307.0,CAMPOS-CAN SION ,53.0,15.5,16.2,16.2,,,,,,,,,,,,,,,,,,,,,,,,
B398A,2.936671,2025-01-07T12:00:00+0000,0.0,164.66,9.0,6.6,302.0,39.135487,303.0,CABRERA  PARQUE NACIONAL DE CABRERA,57.0,14.4,14.9,15.3,998.7,1.1,,,6.4,,10.0,,,,,,,,,,,,,,,,,
B410B,3.145785,2025-01-07T12:00:00+0000,0.0,45.0,7.0,2.8,332.0,39.340054,336.0,SANTANYÍ,48.0,14.9,15.9,15.9,1014.0,1.2,,,,,26.0,,,,,,,,,,,,,,,,,
B434X,3.271687,2025-01-07T12:00:00+0000,0.0,17.0,7.7,3.7,253.0,39.414555,264.0,PORTOCOLOM,50.0,15.4,15.6,15.9,1016.4,1.1,16.5,1018.4,5.1,20.0,16.0,60.0,12.3,,,,,,0.0,,,,,,,,,
B496X,3.383603,2025-01-07T12:00:00+0000,0.0,25.0,6.3,2.5,256.0,39.630276,317.0,SON SERVERA-CAN PEP MONJO,62.0,15.1,15.4,15.7,,,,,,,,,,,,,,,,,,,,,,,,
B526X,3.351112,2025-01-07T12:00:00+0000,0.0,110.0,,,,39.68861,,ARTÀ-MOLI D?EN LEU ,61.0,14.5,15.8,16.3,,,,,,,,,,,,,,,,,,,,,,,,
B569X,3.478002,2025-01-07T12:00:00+0000,0.0,57.0,5.0,0.3,238.0,39.716694,228.0,CAPDEPERA-FARO,46.0,16.2,17.1,17.6,,,,,5.3,,,,,,,44.0,,,,,,,,,,,,
B603X,3.278571,2025-01-07T12:00:00+0000,0.0,99.0,,,,39.723183,,COLÒNIA SANT PERE-CAN MENGOL,69.0,13.4,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
B605X,3.104721,2025-01-07T12:00:00+0000,0.0,2.0,6.3,3.0,286.0,39.796665,267.0,MURO-S?ALBUFERA ,57.0,14.1,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
B614E,3.21778,2025-01-07T12:00:00+0000,0.0,100.0,7.1,3.3,254.0,39.556824,237.0,MANACOR-POLIESPORTIU,57.0,14.3,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
B640X,3.1212,2025-01-07T12:00:00+0000,0.0,94.9,6.5,3.4,267.0,39.616463,275.0,PETRA,53.0,15.2,15.3,15.6,,0.8,,,5.8,,20.0,,,,,,,,,,,,,,,,,
B644B,3.002128,2025-01-07T12:00:00+0000,0.0,120.0,7.0,4.3,269.0,39.643265,265.0,SINEU-POLIESPORTIU,50.0,14.4,14.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,
B656A,2.800156,2025-01-07T12:00:00+0000,0.0,121.0,10.3,5.0,295.0,39.652473,308.0,SANTA MARÍA,51.0,13.9,14.6,15.1,1004.0,1.2,,,,,17.0,,,,,,,,,,,,,,,,,
B662X,2.873775,2025-01-07T12:00:00+0000,0.0,105.0,9.9,5.5,293.0,39.677963,300.0,BINISSALEM-SA VINYOTA,51.0,14.1,14.6,14.6,,,,,,,,,,,,,,,,,,,,,,,,
B684A,2.787778,2025-01-07T12:00:00+0000,0.0,842.0,,,,39.792778,,ESCORCA-SON TORRELLA,79.0,6.5,6.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,
B691Y,3.01667,2025-01-07T12:00:00+0000,0.0,40.0,6.8,3.2,226.0,39.749165,255.0,SA POBLA-SA CANOVA,49.0,15.0,15.3,15.5,1014.6,1.1,15.1,,,,20.0,60.0,12.9,,,,,,,,,,,,,,,
B760X,3.024159,2025-01-07T12:00:00+0000,0.0,45.0,9.9,3.7,284.0,39.87694,275.0,POLLENÇA-POLIESPORTIU,58.0,14.1,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
B780X,3.100277,2025-01-07T12:00:00+0000,0.0,2.0,5.0,1.5,294.0,39.909447,277.0,PORT POLLENÇA-AERODROM ,55.0,16.1,16.3,16.3,,,,,,,,,,,,,,,,,,,,,,,,
B825B,4.086385,2025-01-07T12:00:00+0000,0.0,80.0,8.9,5.7,229.0,39.990555,237.0,MERCADAL,72.0,13.5,13.6,14.2,,,,,,,,,,,,,,,,,,,,,,,,
B860X,3.853866,2025-01-07T12:00:00+0000,0.0,20.0,,,,39.992775,,CIUTADELLA-SON QUIM ,64.0,14.6,15.1,15.7,,,,,,,,,,,,,,,,,,,,,,,,
B870C,3.956643,2025-01-07T12:00:00+0000,0.0,43.0,4.8,1.9,236.0,39.944786,199.0,CIUTADELLA-CALA GALDANA,70.0,14.2,14.8,15.9,1013.0,1.0,,,,,38.0,,,,,,,,,,,,,,,,,
B893,4.215556,2025-01-07T12:00:00+0000,0.0,91.0,8.2,5.6,240.0,39.854725,240.0,MENORCA/AEROPUERTO,66.0,14.2,14.3,14.9,1008.1,0.6,15.9,1018.4,8.0,,9.0,60.0,,,,,,,,,,,,,,,,
B908X,1.492503,2025-01-07T12:00:00+0000,0.0,110.0,,,,39.05611,,SANT JOAN DE LABRITJA ,58.0,15.9,15.9,16.3,,,,,,,,,,,,,,,,,,,,,,,,
B925,1.321389,2025-01-07T12:00:00+0000,0.0,32.0,7.1,3.0,255.0,38.963055,263.0,SANT ANTONI DE PORTMANY,59.0,14.5,14.6,15.1,1016.9,1.4,,,,,23.0,,,,,,,,,,,,,,,,,
B954,1.384446,2025-01-07T12:00:00+0000,0.0,6.0,8.8,5.6,290.0,38.876385,300.0,IBIZA/ES CODOLÁ,60.0,14.8,14.8,15.1,1018.3,0.4,15.8,1019.0,7.1,,4.0,60.0,,,,,,,,,,,,,,,,
B957,1.441516,2025-01-07T12:00:00+0000,0.0,3.0,6.9,3.7,308.0,38.922638,307.0,EIVISSA,57.0,15.6,15.8,16.4,1019.6,1.1,,,,,18.0,,,,,,,,,,,,,,,,,
B986,1.463528,2025-01-07T12:00:00+0000,0.0,24.0,9.0,5.1,287.0,38.69371,279.0,FORMENTERA,58.0,15.2,15.3,16.0,1017.4,1.6,,,,,18.0,,,,,,,,,,,,,,,,,
C018J,-13.690277,2025-01-07T12:00:00+0000,0.0,376.0,7.6,4.7,129.0,28.969727,92.0,TIAS-LAS VEGAS,69.0,17.1,18.9,19.2,,,,,,,,,,,,,,,,,,,,,,,,
C019V,-13.834999,2025-01-07T12:00:00+0000,0.0,6.0,6.9,4.5,101.0,28.858885,110.0,YAIZA-PLAYA BLANCA,67.0,19.9,20.0,20.1,,,,,,,,,,,,,,,,,,,,,,,,
C029O,-13.600279,2025-01-07T12:00:00+0000,0.0,14.0,6.7,4.1,110.0,28.951942,100.0,LANZAROTE/AEROPUERTO,58.0,20.9,21.2,21.4,1020.6,0.5,25.1,1025.1,12.6,,5.0,60.0,,,,,,,,,,,,,,,,
C038N,-13.489167,2025-01-07T12:00:00+0000,0.0,277.0,8.1,4.4,117.0,29.143612,115.0,HARÍA-CEMENTERIO,66.0,18.8,19.1,19.1,,,,,,,,,,,,,,,,,,,,,,,,
C048W,-13.680833,2025-01-07T12:00:00+0000,0.0,275.0,6.7,3.4,72.0,29.0425,87.0,TINAJO-LOS DOLORES,63.0,18.0,18.8,18.8,,,,,,,,,,,,,,,,,,,,,,,,
C101A,-17.895279,2025-01-07T12:00:00+0000,0.0,2223.0,6.2,3.9,208.0,28.755833,142.0,ROQUE DE LOS MUCHACHOS,15.0,11.7,12.0,12.6,785.3,14.0,,,,,14.0,60.0,,,,,,,,,,,,,,,,
C117A,-17.985556,2025-01-07T12:00:00+0000,0.0,684.0,6.9,3.9,204.0,28.760555,222.0,PUNTAGORDA,83.0,15.3,15.9,15.9,,,,,,,,,,,,,,,,,,,,,,,,
C117Z,-17.936666,2025-01-07T12:00:00+0000,0.0,733.0,4.7,1.0,305.0,28.674723,132.0,TIJARAFE-MIRADOR TIME,85.0,14.9,15.5,15.5,,,,,,,,,,,,,,,,,,,,,,,,
C126A,-17.853056,2025-01-07T12:00:00+0000,0.0,844.0,4.8,2.2,247.0,28.653889,282.0,EL PASO-C.F.,68.0,15.9,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,
C129V,-17.84111,2025-01-07T12:00:00+0000,0.0,19.0,4.8,3.1,125.0,28.455,112.0,FUENCALIENTE-SALINAS,67.0,21.5,22.6,22.6,,,,,,,,,,,,,,,,,,,,,,,,
C129Z,-17.915277,2025-01-07T12:00:00+0000,0.0,62.0,5.3,2.7,175.0,28.595833,168.0,TAZACORTE,61.0,20.2,22.2,22.2,,,,,14.3,,,,,,,75.0,,,,,,,,,,,,
C139E,-17.755005,2025-01-07T12:00:00+0000,0.0,33.0,7.2,4.7,150.0,28.633057,160.0,LA PALMA/AEROPUERTO,71.0,20.3,21.0,21.0,1017.0,0.7,,1020.6,15.5,,9.0,59.0,,,,,,,,,,,,,,,,
C148F,-17.782223,2025-01-07T12:00:00+0000,0.0,362.0,5.2,2.9,83.0,28.804722,72.0,SAUCES-S.ANDRÉS-BALSA ADEYAHAME,83.0,17.2,17.5,17.6,,,,,,,,,,,,,,,,,,,,,,,,
C229J,-14.358002,2025-01-07T12:00:00+0000,0.0,15.0,6.5,2.8,111.0,28.04904,104.0,PÁJARA-PUERTO MORRO JABLE,71.0,19.9,20.7,20.7,1022.4,,,1024.2,15.3,,,,,,,123.0,,,,,,,,,,,,
C239N,-14.023056,2025-01-07T12:00:00+0000,0.0,1.0,7.1,3.5,93.0,28.20861,82.0,TUINEJE-PUERTO GRAN TARAJAL,73.0,19.6,19.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,
C248E,-14.019167,2025-01-07T12:00:00+0000,0.0,252.0,5.4,3.3,96.0,28.416945,95.0,ANTIGUA-EL CARBÓN,69.0,18.1,18.4,18.4,,,,,,,,,,,,,,,,,,,,,,,,
C249I,-13.863055,2025-01-07T12:00:00+0000,0.0,25.0,5.7,3.6,70.0,28.44472,80.0,FUERTEVENTURA/AEROPUERTO,66.0,20.1,20.4,20.7,1019.5,0.3,22.7,1024.9,13.9,22.6,7.0,60.0,,,,,,,,,,,,,,,,
C258K,-13.931667,2025-01-07T12:00:00+0000,0.0,217.0,6.8,3.9,94.0,28.6125,95.0,LA OLIVA (CARRETERA DEL COTILLO),69.0,18.7,18.7,19.6,,,,,,,,,,,,,,,,,,,,,,,,
C259X,-13.863056,2025-01-07T12:00:00+0000,0.0,6.0,5.7,4.2,108.0,28.740557,72.0,LA OLIVA-PUERTO DE CORRALEJO,68.0,20.0,20.1,20.2,,,,,,,,,,,,,,,,,,,,,,,,
C314Z,-17.249166,2025-01-07T12:00:00+0000,0.0,1474.0,6.8,4.1,122.0,28.106943,132.0,VALLEHERMOSO-ALTO IGUALERO,96.0,9.2,10.4,10.4,,,,,,,,,,,,,,,,,,,,,,,,
C316I,-17.315,2025-01-07T12:00:00+0000,0.0,916.0,5.4,2.9,208.0,28.128332,220.0,ARURE CEMENTERIO,74.0,15.3,16.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
C317B,-17.213057,2025-01-07T12:00:00+0000,0.0,765.0,8.6,4.5,195.0,28.178888,192.0,AGULO-JUEGO BOLAS,64.0,16.5,19.3,19.3,,,,,,,,,,,,,,,,,,,,,,,,
C319W,-17.306389,2025-01-07T12:00:00+0000,0.0,190.0,9.1,5.3,175.0,28.054167,172.0,VALLEHERMOSO-DAMA,65.0,21.6,21.9,21.9,,,,,,,,,,,,,,,,,,,,,,,,
C328W,-17.194166,2025-01-07T12:00:00+0000,0.0,252.0,3.2,0.7,51.0,28.16361,10.0,HERMIGUA-DEPÓSITO AYUNTAMIENTO,70.0,18.9,19.1,19.2,,,,,,,,,,,,,,,,,,,,,,,,
C329Z,-17.11139,2025-01-07T12:00:00+0000,0.0,15.0,4.9,3.1,161.0,28.089722,152.0,SAN SEBASTIÁN DE LA GOMERA,73.0,20.8,20.9,21.7,1020.8,,,1022.6,15.9,,,,,,,92.0,,,,,,,,,,,,
C419L,-16.792028,2025-01-07T12:00:00+0000,0.0,403.0,4.5,2.3,241.0,28.207056,251.0,LOMO DEL BALO,66.0,18.3,18.3,19.6,,0.7,,,,,18.0,50.0,,,,,,,,,,,,,,,,
C419X,-16.710556,2025-01-07T12:00:00+0000,0.0,130.0,,,,28.081388,,ADEJE-CALDERA B,49.0,22.0,23.1,23.1,,,,,,,,,,,,,,,,,,,,,,,,
C428T,-16.483334,2025-01-07T12:00:00+0000,0.0,418.0,4.5,1.9,130.0,28.180834,97.0,ARICO-DEPURADORA LA DEGOLLADA,66.0,19.5,20.3,21.0,,,,,,,,,,,,,,,,,,,,,,,,
C429I,-16.561157,2025-01-07T12:00:00+0000,0.0,64.0,5.1,3.1,120.0,28.046991,110.0,TENERIFE/SUR,56.0,20.4,21.0,21.1,1013.8,0.3,25.9,1022.9,11.9,,9.0,60.0,,,,,,,,,,,,,,,,
C430E,-16.499722,2025-01-07T12:00:00+0000,0.0,2368.93,10.2,6.4,179.0,28.308332,175.0,IZAÑA,14.0,11.4,12.4,12.4,772.0,0.7,15.5,,-14.5,20.0,8.0,60.0,5.8,,,,,,0.0,,,,,5.6,,,,3181.7
C438N,-16.401735,2025-01-07T12:00:00+0000,0.0,463.0,4.8,1.8,169.0,28.359247,152.0,CANDELARIA-DEPOSITO CUEVECITAS,80.0,17.2,17.2,18.0,,,,,,,,,,,,,,,,,,,,,,,,
C439J,-16.382229,2025-01-07T12:00:00+0000,0.0,115.0,4.9,2.7,82.0,28.318405,80.0,TENERIFE-GÜIMAR,72.0,20.0,20.2,20.7,1008.5,0.8,,1022.6,15.0,,25.0,,,,,,,,,,,,,,,,,
C447A,-16.329445,2025-01-07T12:00:00+0000,0.0,632.0,5.7,3.4,90.0,28.477497,90.0,TENERIFE/LOS RODEOS,84.0,15.4,16.1,16.5,951.5,0.9,18.1,1022.5,13.4,26.2,18.0,15.0,,,,,,,,,,,,,,,,
C449C,-16.255281,2025-01-07T12:00:00+0000,0.0,35.61,4.0,2.3,118.0,28.463337,108.0,SANTA CRUZ DE TENERIFE ,68.0,21.4,21.9,21.9,1017.2,0.6,26.6,1022.7,15.7,20.0,19.0,60.0,19.1,,,,,,0.0,,,,,19.4,,,,
C449F,-16.195557,2025-01-07T12:00:00+0000,0.0,19.0,4.1,2.2,157.0,28.508057,162.0,ANAGA-COL. REP. ARGENTINA,67.0,21.5,22.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,
C457I,-16.454445,2025-01-07T12:00:00+0000,0.0,567.0,3.5,1.8,329.0,28.434444,317.0,VICTORIA-DEPÓSITO MARRERO,66.0,17.1,17.3,17.8,,,,,,,,,,,,,,,,,,,,,,,,
C458A,-16.420065,2025-01-07T12:00:00+0000,0.0,310.0,2.3,1.3,260.0,28.496473,270.0,TACORONTE-A S.E.A.,65.0,18.5,19.1,19.1,,,,,,,,,,,,,,,,,,,,,,,,
C459Z,-16.548332,2025-01-07T12:00:00+0000,0.0,25.0,2.1,0.9,329.0,28.418056,321.0,PUERTO DE LA CRUZ,63.0,20.9,21.5,21.5,1018.7,,,1021.6,14.1,,,,,,,29.0,,,,,,,,,,,,
C468X,-16.625834,2025-01-07T12:00:00+0000,0.0,667.0,3.8,1.6,333.0,28.373056,270.0,LLANOS DE MESA ,70.0,16.5,16.6,16.8,,,,,,,,,,,,,,,,,,,,,,,,
C611E,-15.583889,2025-01-07T12:00:00+0000,0.0,1702.0,3.9,1.3,271.0,27.976667,265.0,SAN MATEO (CORRAL DE LOS JUNCOS),47.0,13.2,14.0,15.7,,,,,,,,,,,,,,,,,,,,,,,,
C612F,-15.598889,2025-01-07T12:00:00+0000,0.0,1514.0,3.4,1.4,260.0,28.006945,260.0,TEJEDA-CRUZ DE TEJEDA,55.0,11.5,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
C614H,-15.615833,2025-01-07T12:00:00+0000,0.0,1060.0,3.8,1.4,275.0,27.995,262.0,TEJEDA CASCO,43.0,15.3,16.3,18.8,,,,,3.8,,,,,,,35.0,,,,,,,,,,,,
C619X,-15.712778,2025-01-07T12:00:00+0000,0.0,5.0,2.8,0.9,251.0,28.10111,287.0,AGAETE-CASCO,66.0,20.8,21.7,21.7,,,,,,,,,,,,,,,,,,,,,,,,
C619Y,-15.8075,2025-01-07T12:00:00+0000,0.0,13.0,4.8,2.6,310.0,28.00111,269.0,LA ALDEA DE SAN NICOLAS,64.0,20.8,21.3,21.3,1021.2,0.8,19.9,1022.7,14.2,20.0,25.0,60.0,18.1,,,,,,0.0,,,,,,,,,
C623I,-15.599722,2025-01-07T12:00:00+0000,0.0,1220.0,3.3,1.5,75.0,27.926666,22.0,SAN BARTOLOME TIRAJANA (CUEVAS DEL PINAR),79.0,12.3,13.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,
C625O,-15.645,2025-01-07T12:00:00+0000,0.0,806.0,6.0,1.7,218.0,27.856943,182.0,SAN BARTOLOME TIRAJANA-LOMO PEDRO ALFONSO,68.0,15.8,16.9,16.9,,,,,,,,,,,,,,,,,,,,,,,,
C628B,-15.77,2025-01-07T12:00:00+0000,0.0,318.0,6.1,3.4,194.0,27.90889,172.0,SAN NICOLAS T.-TASARTE/COPARLITA,65.0,18.8,19.4,19.4,,,,,,,,,,,,,,,,,,,,,,,,
C629Q,-15.711111,2025-01-07T12:00:00+0000,0.0,10.0,8.8,7.0,132.0,27.78,145.0,MOGAN (PUERTO RICO),75.0,19.7,19.7,20.2,,,,,,,,,,,,,,,,,,,,,,,,
C629X,-15.764167,2025-01-07T12:00:00+0000,0.0,10.0,9.6,8.0,122.0,27.81639,112.0,PUERTO DE MOGÁN,71.0,20.2,20.9,21.0,,,,,15.4,,,,,,,232.0,,,,,,,,,,,,
