idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
1057B,-2.752762,2025-01-07T07:00:00+0000,0.0,93.0,12.9,6.7,209.0,43.453907,207.0,MATXITXAKO,51.0,10.7,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
1059X,-3.021602,2025-01-07T07:00:00+0000,0.0,81.0,5.0,3.0,181.0,43.375088,153.0,PUNTA GALEA ,63.0,7.7,8.6,8.6,1004.5,0.7,,1013.6,1.9,,14.0,,,,,,,,,,,,,,,,,
1060X,-3.005452,2025-01-07T07:00:00+0000,0.0,240.0,2.5,1.3,7.0,43.05024,7.0,AMURRIO,98.0,1.5,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,
1064L,-2.860274,2025-01-07T07:00:00+0000,0.0,270.0,4.0,1.5,47.0,43.096333,70.0,OROZKO  IBARRA,98.0,2.4,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,
1069Y,-2.644187,2025-01-07T07:00:00+0000,0.0,747.0,,,,43.09923,,ABADIÑO  URKIOLA,90.0,0.9,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,
1074C,-2.706153,2025-01-07T07:00:00+0000,0.0,100.0,1.8,0.6,186.0,43.202892,242.0,AMOREBIETA-ETXANO,100.0,2.1,2.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,
1078C,-3.209649,2025-01-07T07:00:00+0000,0.0,210.0,,,,43.180576,,BALMASEDA,79.0,3.1,5.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,
1078I,-3.104777,2025-01-07T07:00:00+0000,0.0,208.0,5.9,2.4,78.0,43.203384,253.0,GÜEÑES,75.0,5.1,6.0,7.2,991.0,,,1016.4,1.9,,,,,,,60.0,,,,,,,,,,,,
1082,-2.906304,2025-01-07T07:00:00+0000,0.0,42.0,6.7,2.2,120.0,43.29795,160.0,BILBAO AEROPUERTO,62.0,7.4,8.2,8.3,1011.0,0.9,5.6,1015.8,1.3,,63.0,0.0,,,,,,,,,,,,,,,,
1083B,-3.168615,2025-01-07T07:00:00+0000,0.0,177.0,1.2,0.3,295.0,43.27972,312.0,SOPUERTA,89.0,4.7,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,
1083L,-3.233884,2025-01-07T07:00:00+0000,0.0,45.0,4.9,2.9,180.0,43.39473,204.0,CASTRO URDIALES-EDAR,53.0,10.6,11.0,12.2,,,,,1.7,,,,,,,101.0,,,,,,,,,,,,
1089U,-3.47083,2025-01-07T07:00:00+0000,0.0,80.0,1.0,0.3,293.0,43.255833,212.0,RAMALES DE LA VICTORIA-ETAP,100.0,2.2,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,
1096X,-3.469721,2025-01-07T07:00:00+0000,0.0,10.0,6.6,3.0,157.0,43.39667,140.0,TRETO,83.0,5.6,5.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,
1103X,-3.721084,2025-01-07T07:00:00+0000,0.0,849.0,8.0,6.6,215.0,43.227554,205.0,SAN ROQUE DE RIOMERA-CARACOL,63.0,3.8,4.3,4.4,,,,,,,,,,,,,,,,,,,,,,,,
1109X,-3.831385,2025-01-07T07:00:00+0000,0.0,3.0,7.7,5.8,200.0,43.42861,210.0,SANTANDER AEROPUERTO,61.0,8.8,9.2,9.2,1014.1,0.4,9.4,1014.9,2.1,,2.0,0.0,,,,,,,,,,,,,,,,
1111X,-3.800431,2025-01-07T07:00:00+0000,0.0,50.96,8.5,5.6,193.0,43.491055,183.0,SANTANDER CMT,54.0,9.6,9.6,9.7,1006.9,0.8,9.2,1013.9,0.6,20.0,10.0,0.0,10.1,,,,8.1,193.0,0.0,5.6,1.2,8.0,198.0,10.7,,,,
1124E,-3.849351,2025-01-07T07:00:00+0000,0.0,195.7,4.0,1.1,227.0,43.2456,140.0,VILLACARRIEDO - SANTIBAÑEZ,84.0,2.2,4.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,
1135C,-4.214141,2025-01-07T07:00:00+0000,0.0,460.0,1.3,0.1,303.0,43.146942,80.0,BÁRCENA MAYOR-TORIZ,100.0,0.7,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
1152C,-4.048612,2025-01-07T07:00:00+0000,0.0,105.0,1.7,0.5,115.0,43.271942,120.0,SAN FELICES DE BUELNA-TARRIBA,98.0,2.9,3.4,3.5,,,,,,,,,,,,,,,,,,,,,,,,
1154H,-4.027419,2025-01-07T07:00:00+0000,0.0,110.0,5.8,4.0,150.0,43.358517,140.0,TORRELAVEGA-SIERRAPANDO,64.0,6.9,7.8,7.8,,,,,,,,,,,,,,,,,,,,,,,,
